순번,Q,A
970,경제수역,"배타적 경제수역의 준말로, 영해 밖으로 해안기선으로부터 200해리 안에 설정된 수역을 가리킨다. 1982년의 국제연합 해양법조약으로 제도화되었으며, 연안국의 영해 바깥 해양자원에 대한 권한을 보장하고 있다. 해양법조약에 따르면 연안국은 경제수역에서 해저의 상부수역, 해저 및 그 아래의 생물과 비생물을 포괄하는 천연자원을 탐사, 개발, 보존, 관리하기 위한 주권적 권리 및 해수, 해류, 바람을 이용한 에너지 생산 등 수역의 경제적 탐사와 개발을 위한 다른 활동에 관한 주권적 권리와 인공섬, 설비 및 구축물의 설치와 이용, 해양의 과학적 조사, 해양환경의 보호와 보전에 대하여 해양법조약에서 정한 관할권 및 해양법조약에서 정한 기타의 권리를 갖는 동시에 생물자원의 보존과 최적 이용에 대한 의무를 진다. 또한 연안국이 아닌 모든 나라는 경제수역에서 항행의 자유, 상공 비행의 자유, 해저전선과 파이프라인 부설의 자유 및 그 운용에 따르는 그 밖의 국제적으로 적법한 해양 사용의 자유를 가지나 그 자유의 행사와 의무의 이행에 있어 연안국의 권리와 의무를 고려하고 연안국의 법령을 준수할 필요가 있다. 경제수역의 제도와 양립하는 한도 내에서 공해제도에 관한 국제법의 다른 규칙도 이 수역에 적용된다."
1006,계기비행,"시계에 의존하지 않고 오직 항공기의 계기에 의존하여 행하는 비행으로, 통상 야간이나 악천후일 경우와 같이 육안으로는 비행하기 힘든 경우에 주로 행해진다. 계기비행이 가능해진 것은 전파를 이용한 항법이 개발되면서 항공기의 위치 파악이나 항로 유도 등을 전파를 통해 행할 수 있게 되었기 때문으로, 계기비행이 발전하면서 기상현상으로 인한 비행의 제한이 크게 줄어들게 되었다. 현재 규정상 시정, 운고 등의 기상조건이 일정 수준 이하일 경우 계기비행기상조건으로 분류하여 반드시 계기비행을 행하도록 되어 있다. 조종사가 계기비행을 행하기 위해서는 먼저 시계비행을 익힐 필요가 있으며, 별도의 계기비행 지식을 교육받고 계기비행 훈련을 행한 뒤 계기비행증명을 받을 필요가 있다."
1010,계기착륙장치,"계기착륙을 위한 착륙용 표준시설을 가리키며, 1947년 국제민간항공기구(ICAO)에 의해 표준시설로 채택되었다. 계기착륙시설은 착륙하는 항공기에 대하여 전파로 항공기의 강하경로정보(수평 및 수직정보)를 제공하고 특정 지점에서 착륙지점까지의 거리를 알려주는 방식으로 운용되며, 이를 통하여 극히 낮은 운고와 저시정 상태에서도 항공기를 안전하게 착륙시킬 수 있도록 도움을 준다. 계기착륙시설은 활주로 중심선의 지시정보를 제공하여 수평정보를 알려주는 방위각 장비(Localizer)와 착륙 활공각(통상 3도) 정보를 제공하여 수직정보를 알려주는 활공각 장비(Glide Path) 및 위치 정보를 제공하여 착륙지점까지의 거리를 알려주는 마커 비콘(Marker Beacon)으로 구성되며, 완벽한 계기착륙을 위해 계기착륙시설과 병행하여 VOR, DME, NDB 등의 무선시설 장비를 병행설치하여 운용한다. 계기착륙시설 시스템은 그 편리성이 탁월하나 시설의 특성상 지형적, 지리적 조건에 따라 설치의 제약이 심하다는 문제가 있다."
1012,계략,"기만을 달성하기 위한 꾀를 가리킨다. 통상적으로 계략은 사단급 예하 모든 제대에서 사용되며, 적을 기만하기 위해서 실시하는 작전으로 일반적으로 단일 행동이다. 사전에 계획할 수도 있으나 준비 없이 즉응적으로 실시될 수도 있다. 공격측 방어측 모두 적에게 허위 첩보를 주도록 노력하거나, 적의 의도와 사기, 전투준비 및 그 태세 등을 아군에게 노출시키게 하기 위해서 실시되기도 한다. 간단한 계략의 예로는 적절한 전자기만을 통한 유리한 적 반응의 유치라든가 소수의 전차로 전 지역을 운행하여 대규모 이동 흉내를 내는 것 등을 들 수 있다."
1020,계류기뢰,
1174,고립방어,"적에 의하여 고립된 부대가 상급부대(아군부대)와의 연결이 불가능할 때 전세가 호전될 때까지 전면방어 개념하에 취하는 방어작전을 가리킨다. 고립된 상황 하에서는 연락 두절이나 보급의 제한을 비롯한 제반조건의 제한으로 인하여 사기가 떨어지기 쉬우므로 지휘관 및 참모는 사기의 유지를 위해 특히 신경써야 하며, 고립된 부대가 독자적으로 운영되기 위한 행정지원 시설을 마련할 필요가 있다. 이에는 임시 매장지역, 탄약 보급소 외에도 지상보급의 불가능, 혹은 심한 제약으로 인하여 공중을 통해 보급물자를 수령하기 위해 설치되는 공중투하 및 착륙지역이 있는데, 특히 고립된 상황 하에서의 공중보급 실시 여부 및 그 효율은 방어자의 방어 성공을 좌우하는 중요한 요소 중 하나이다. 또한 방어지역-특히 도시지역-내에 민간인이 거주할 경우, 외부와의 연락 두절로 인하여 식량을 비롯한 생필품을 군의 배급에 의존하게 되는 경우가 많은데 이 경우 물자의 분배에 신중을 기할 필요가 있다. 고립방어 작전의 성공을 위해서는 전면적인 방어 작전의 효율적 운영 외에도, 연결작전을 통해 반격의 실마리를 잡는 것이 중요하다."
1214,고수방어,"강력한 방어편성과 결전의 의지를 기초로 방어지역의 상실을 최대로 억제하면서 적의 공격을 저지 격멸하기 위한 방어작전의 개념을 가리킨다. 퇴각하지 않는 확고한 저항을 기초로 하고 있으며, 이는 중요지역의 확보와 적의 격멸에 주안점을 두고 적의 공격력을 약화 또는 무력화시키고 결정적인 지형을 고수하며 적을 불리한 지형으로 집중하도록 하여 적극적인 공세적 방어로써 격멸한 후 조기에 공세이전의 여건을 조성하는 것을 목적으로 한다. 다만, 부대가 전면 포위된 상황에서 연결작전 없이 전술적 고수방어개념만을 고집해서는 공세적 방어라는 목표를 효과적으로 달성할 수 없다."
1231,고엽작전,"일반적으로는 수목이 우거진 지역에서 적의 은신처를 제거하기 위해 고엽제를 사용하여 수목을 고사시키는 작전을 가리키며, 좁게는 미군이 1966-1969년 사이에 베트남에서 수행한 정글 파괴작전을 가리킨다. 고엽제는 말려 죽이는 방법으로 초목을 제거하는 제초제로 농약의 낙엽제에 해당하는 것을 통칭하나, 일반적으로는 베트남전쟁 당시 미군이 베트남의 밀림에 살포했던 2, 3, 5-T(트리클로롤페닐) 계열의 제초제를 가리킨다. 이에 포함된 TCDD(2, 3, 7, 8 사염기화다이옥신)은 기형이나 암을 유발하는 것으로 알려져 있다. 본래 이들은 30년대에 개발되어, 제 2차 세계대전 말기 동남아 전선 등에서 이용하려는 시도가 있었으나 사용 이전에 전쟁이 끝났다. 이후 영국이 말레이시아에 대하여 수행한 식민지 전쟁 등에서 사용되었으며, 베트남전쟁 시기인 1966-1969년 사이에 미군은 게릴라의 은신처를 없애고 군량 보급을 차단한다는 명분으로 공중살포 등의 방식을 동원하여 베트남의 정글에 고엽제를 대량으로 살포하였다. 미군에서는 이를 오렌지작전 이라는 명칭으로 불렀으나, 일반에서는 이를 고엽작전이라 불렀고 이에 사용된 제초제는 고엽제라 불렀다. 처음에 미군은 직접적인 인마살상을 일으키지 않는다는 이유로 고엽제를 무기로 인정하지 않고 밀림에 대한 고엽작전을 강행하였으나, 생태학적 측면에서 고엽작전을 반대한 일단의 과학자들과 귀환병과 학생을 주축으로 한 반전운동 및 환경보전에 대한 여론 등에 힘입어 닉슨 대통령에 의해 1970년 말 고엽작전이 중단되었다. 그러나, 전쟁 후 지금까지도 후유증을 겪는 이들 및 고엽제의 부작용으로 인한 기형아들이 상존하고 있다. 현재 국제연합(UN)은 고엽제를 제네바의정서에서 사용금지한 화학무기의 범주에 포함시키고 그 사용을 감시하고 있다."
1335,고착부대,"기동방어 수행시 조기 경고, 방어, 지연, 기만 및 적공격 와해를 수행하며, 지연진지를 집중하여 적의 병력을 집결시켜 적으로 하여금 아군 역습에 취약하게 하기 위하여 전방 방어지역에서 운용되는 비교적 경장비의 부대를 가리킨다. 고착부대의 임무로는 적의 공격예상을 경고하고 적의 공격진행 사항에 관한 첩보를 제공하는 조기 경고, 특정 지역의 방어 수행, 지연과 기만, 적 공격 및 공격수행 부대의 와해, 아군 예비대를 이용한 공격이 적합한 지역으로 적 부대를 유인, 적 공격부대의 집결 강요 등이 있으며, 이러한 임무의 수행을 위하여 관측소와 청음초를 비롯한 감시 수단의 강구, 수색 정찰의 수행, 저지진지의 점령 및 방어, 지연 행동, 능력범위 내에서의 공세행동 등의 활동을 혼용하여 부대를 운용한다. 규모가 작을 수 있으며 기계화 사단일 경우에도 비교적 경장비의 차량 및 기계화 보병으로 운용하는 것이 일반적이나, 적의 기계화부대와 대치하고 있는 경우에는 전차로 적절히 증강될 필요가 있다."
1408,공격개시선,"공격부대 또는 정찰부대가 공격방향 및 시간을 협조하고, 공격임무를 수행할 위치를 지정한 선을 가리킨다. 상륙작전에 있어서는 돌격주정 제 1파가 예정시간에 지정된 해안에 상륙할 수 있도록 해상에 적절히 표시한 조정선으로, 대략 상륙해안과 평행을 이루도록 해상에 지정되는 선이며, 이 선을 연하여 계속되는 제 2파, 제 3파 및 이후의 배들이 해안으로 최종적인 이동을 위해 전개하는 곳임"
1414,공격작전,"적의 전투의지를 파괴하고 적 부대를 격멸하기 위해 가용한 수단과 방법을 사용하여 전투를 적 방향으로 이끌어 나가는 작전으로, 아군의 의지를 적에게 강요하여 결정적인 성과를 달성하는 적극적인 작전형태이다. 공격작전은 결정적인 시간과 장소에 전투력을 집중하여 적을 격멸할 수 있다는 이점이 있으나, 부대가 노출된 상태에서 기동하므로 전투력이 조기에 소모될 수 있다는 약점이 있으므로, 작전한계점에 도달하기 이전에 작전의 목적을 달성할 수 있도록 전투력을 운용하여야 한다. 또한 공격작전은 본질적으로 적을 수동적인 태세로 유도하여 공격하는 측에 행동의 자유를 갖도록 하는 것이므로 항상 주도권을 장악하고 유리하게 행사하여야 하며, 결정적인 시간과 장소에서 적에 비하여 상대적인 전투력 우세를 달성할 수 있도록 전투력을 집중할 수 있어야 한다."
1417,공격준비사격,"공격작전에서 공격을 가할 주력부대의 공격을 지원하기 위하여 적의 진지와 물자, 화력지원수단, 통신 및 지휘소, 관측소를 파괴하고 제압하기 위하여 실시되는 사격을 가리킨다. 이것은 통상 포병사격으로 대표되는 지상화기나 공중으로부터의 폭격으로 맹렬한 사격을 가하는 방법으로 실시되는 것이 일반적이며, 상륙작전 등의 특수한 상황에 있는 관계로 전투장소가 해안과 가까운 경우에는 함포에 의하여 실시되기도 한다. 공격준비사격은 공격작전의 진행 예정에 맞추어 실행해야 하기 때문에 통상 미리 준비한 계획에 따라 시간계획에 의거하여 실시하게 된다."
